City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,24.46,81,88,4.85,PN,1682782780
1,blackmans bay,-43.0167,147.3167,8.07,81,5,3.37,AU,1682782782
2,talnakh,69.4865,88.3972,-3.98,75,7,7.19,RU,1682782783
3,lebu,-37.6167,-73.65,12.81,83,99,5.46,CL,1682782783
4,saint-pierre,-21.3393,55.4781,25.82,69,40,5.14,RE,1682782784
5,patterson,37.4716,-121.1297,19.46,70,99,1.81,US,1682782784
6,waitangi,-43.9535,-176.5597,13.23,75,100,3.64,NZ,1682782785
7,liaozhong,41.5061,122.7242,5.01,82,1,3.75,CN,1682782786
8,college,64.8569,-147.8028,1.78,80,40,1.54,US,1682782786
9,edinburgh of the seven seas,-37.0676,-12.3116,15.05,74,100,12.8,SH,1682782787
10,port-aux-francais,-49.35,70.2167,7.63,96,91,11.53,TF,1682782788
11,colonia,50.9333,6.95,15.54,69,75,2.06,DE,1682782789
12,laguilayan,6.6525,124.5211,24.88,95,100,0.55,PH,1682782790
13,yulinshi,38.2906,109.7494,12.16,22,41,3.63,CN,1682782600
14,tiksi,71.6872,128.8694,-3.75,90,85,0.91,RU,1682782792
15,haiku-pauwela,20.9219,-156.3051,21.69,91,75,4.63,US,1682782792
16,suva,-18.1416,178.4415,23.71,100,20,1.54,FJ,1682782793
17,yellowknife,62.456,-114.3525,5.29,52,75,4.63,CA,1682782795
18,wailua homesteads,22.0669,-159.378,22.44,90,20,3.09,US,1682782799
19,furukawa,38.5717,140.9556,14.9,95,100,1.58,JP,1682782801
20,mont-joli,48.5839,-68.1921,6.72,81,100,8.75,CA,1682782803
21,bethel,41.3712,-73.414,10.47,86,100,5.14,US,1682782805
22,nushki,29.5542,66.0215,21.57,46,71,3.2,PK,1682782806
23,tangalle,6.024,80.7911,25.09,79,94,2.46,LK,1682782808
24,lompoc,34.6391,-120.4579,13.29,83,100,2.57,US,1682782810
25,olonkinbyen,70.9221,-8.7187,-4.18,88,100,10.3,SJ,1682782812
26,boke,10.9409,-14.2967,35.8,31,2,6.28,GN,1682782813
27,luena,-11.7833,19.9167,21.05,60,33,1.68,AO,1682782814
28,badger,64.8,-147.5333,1.74,83,40,1.54,US,1682782816
29,achinsk,56.2694,90.4993,2.92,57,12,4.37,RU,1682782817
30,taurage,55.2522,22.2897,12.29,63,100,3.72,LT,1682782678
31,chegdomyn,51.1167,133.0167,0.62,83,100,1.51,RU,1682782819
32,auna,10.1881,4.7232,35.33,35,89,1.79,NG,1682782820
33,sisimiut,66.9395,-53.6735,1.71,70,14,1.49,GL,1682782821
34,isafjordur,66.0755,-23.124,0.02,51,0,5.14,IS,1682782822
35,port isabel,26.0734,-97.2086,21.02,52,0,12.86,US,1682782823
36,chonchi,-42.6128,-73.8092,10.56,79,30,3.28,CL,1682782823
37,revda,56.801,59.9303,8.44,42,19,0.94,RU,1682782824
38,invercargill,-46.4,168.35,11.68,82,54,0.89,NZ,1682782593
39,anadyr,64.75,177.4833,-17.72,85,0,1.0,RU,1682782826
40,guarapari,-20.6667,-40.4975,24.38,91,100,2.64,BR,1682782827
41,daye,30.0833,114.95,13.85,49,95,1.03,CN,1682782827
42,howard springs,-12.497,131.047,26.95,93,52,0.94,AU,1682782828
43,acarau,-2.8856,-40.12,28.65,73,83,4.0,BR,1682782829
44,namibe,-15.1961,12.1522,25.88,79,97,5.5,AO,1682782830
45,port douglas,-16.4833,145.4667,23.64,81,39,0.88,AU,1682782543
46,saltillo,25.4167,-101.0,16.75,49,10,3.43,MX,1682782831
47,tataouine,32.9297,10.4518,33.49,14,14,2.9,TN,1682782832
48,crane,31.3974,-102.3501,17.83,21,1,7.34,US,1682782832
49,san mateo del mar,16.2,-95.0,28.74,64,86,7.13,MX,1682782833
50,utrik,11.2278,169.8474,25.47,80,100,4.46,MH,1682782834
51,elayirampannai,9.2667,77.8333,28.95,66,100,3.37,IN,1682782835
52,puerto ayora,-0.7393,-90.3518,28.98,92,86,1.79,EC,1682782835
53,egilsstadir,65.2653,-14.3948,1.95,38,0,4.12,IS,1682782836
54,wolbrom,50.3796,19.7583,14.38,89,99,3.54,PL,1682782836
55,albany,42.6001,-73.9662,10.13,78,100,2.24,US,1682782837
56,port mathurin,-19.6833,63.4167,25.84,80,0,5.42,MU,1682782838
57,mahibadhoo,3.7833,72.9667,28.93,73,98,3.09,MV,1682782838
58,rikaze,29.25,88.8833,8.44,42,100,2.45,CN,1682782839
59,turpan,42.9333,89.1667,24.4,10,45,1.29,CN,1682782840
60,dzuunharaa,48.8523,106.4579,8.93,47,94,2.25,MN,1682782840
61,bikenibeu village,1.3673,173.1241,27.98,78,20,2.06,KI,1682782841
62,grytviken,-54.2811,-36.5092,2.09,79,60,4.82,GS,1682782841
63,tralee,52.2704,-9.7026,15.14,82,75,4.63,IE,1682782842
64,saint-francois,46.4154,3.9054,19.98,78,100,2.57,FR,1682782843
65,ushuaia,-54.8,-68.3,3.81,81,100,7.2,AR,1682782843
66,mugia,43.1041,-9.2179,21.2,86,26,3.1,ES,1682782844
67,paradip garh,20.3167,86.6167,28.68,66,61,5.51,IN,1682782845
68,fisterra,42.9049,-9.2629,21.12,88,37,4.2,ES,1682782845
69,puerto natales,-51.7236,-72.4875,5.25,87,75,5.14,CL,1682782846
70,nemuro,43.3236,145.575,5.37,100,100,3.07,JP,1682782847
71,kota bharu,6.1333,102.2386,27.97,89,20,1.03,MY,1682782804
72,belmonte,-15.8631,-38.8828,28.89,61,38,3.01,BR,1682782848
73,ribeira grande,38.5167,-28.7,19.22,77,20,9.83,PT,1682782849
74,labasa,-16.4167,179.3833,24.72,92,81,2.36,FJ,1682782849
75,akureyri,65.6835,-18.0878,-0.04,40,0,5.66,IS,1682782850
76,walvis bay,-22.9575,14.5053,17.27,67,3,8.2,NA,1682782851
77,illapel,-31.6308,-71.1653,21.93,46,39,2.37,CL,1682782851
78,stanley,54.868,-1.6985,8.73,87,75,2.57,GB,1682782852
79,dudinka,69.4058,86.1778,-3.88,84,46,12.11,RU,1682782853
80,udachny,66.4167,112.4,1.92,80,100,7.6,RU,1682782853
81,huangmei,30.1924,116.025,13.78,72,100,0.92,CN,1682782854
82,qaqortoq,60.7167,-46.0333,3.86,46,0,1.52,GL,1682782855
83,jamestown,42.097,-79.2353,13.77,91,100,4.02,US,1682782855
84,port elizabeth,-33.918,25.5701,20.16,71,20,10.29,ZA,1682782856
85,okhotsk,59.3833,143.3,-3.64,92,26,1.56,RU,1682782857
86,pavlodar,52.3,76.95,10.89,25,40,6.0,KZ,1682782857
87,yung shue wan,22.2333,114.1167,25.38,77,98,0.45,HK,1682782858
88,kristiansund,63.1115,7.732,3.03,93,100,3.6,NO,1682782859
89,kargasok,59.0556,80.8572,-3.06,75,67,7.49,RU,1682782860
90,margaret river,-33.95,115.0667,13.79,76,25,2.56,AU,1682782861
91,penzance,50.1186,-5.5371,14.38,83,100,2.11,GB,1682782862
92,ilulissat,69.2167,-51.1,1.01,51,0,3.09,GL,1682782862
93,santana,-0.0583,-51.1817,32.1,70,75,4.63,BR,1682782863
94,ancud,-41.8697,-73.8203,10.78,75,39,6.92,CL,1682782864
95,bilibino,68.0546,166.4372,-18.91,98,80,1.73,RU,1682782864
96,kingston,17.997,-76.7936,31.8,67,20,7.72,JM,1682782865
97,collie,-33.3667,116.15,8.81,94,1,0.63,AU,1682782866
98,longyearbyen,78.2186,15.6401,0.91,69,0,1.54,SJ,1682782866
99,murun-kuren,49.6342,100.1625,9.14,47,57,1.28,MN,1682782868
100,cockburn town,21.4612,-71.1419,26.09,75,65,4.97,TC,1682782869
101,yaprakli,40.7579,33.7782,5.75,70,88,3.51,TR,1682782870
102,hamilton,39.1834,-84.5333,18.69,70,0,3.09,US,1682782871
103,cootamundra,-34.65,148.0333,8.86,95,100,2.81,AU,1682782872
104,yaren,-0.5472,166.916,28.33,78,100,6.22,NR,1682782872
105,xique xique,-10.8217,-42.7311,32.42,45,35,2.21,BR,1682782873
106,bel ombre,-4.6167,55.4167,25.91,89,75,2.06,SC,1682782874
107,pubal,37.2917,127.5078,11.69,81,100,2.57,KR,1682782874
108,petropavlovsk-kamchatsky,53.0452,158.6483,-3.67,80,0,0.0,RU,1682782875
109,rio do sul,-27.2142,-49.6431,23.55,61,92,0.6,BR,1682782876
110,tazovsky,67.4667,78.7,-4.87,87,100,9.55,RU,1682782876
111,boudjima,36.8022,4.1519,25.78,40,100,2.76,DZ,1682782877
112,arraial do cabo,-22.9661,-42.0278,24.92,78,40,4.63,BR,1682782878
113,atafu village,-8.5421,-172.5159,28.5,78,99,7.0,TK,1682782878
114,sandnessjoen,66.0217,12.6316,7.29,45,20,3.09,NO,1682782879
115,seosan,36.7817,126.4522,9.78,86,57,4.47,KR,1682782880
116,bredasdorp,-34.5322,20.0403,15.3,67,24,3.94,ZA,1682782880
117,hermanus,-34.4187,19.2345,17.11,73,27,2.78,ZA,1682782881
118,grand gaube,-20.0064,57.6608,25.22,74,5,1.34,MU,1682782882
119,namtsy,62.7161,129.6658,-1.31,93,100,1.68,RU,1682782882
120,bodaybo,57.8506,114.1933,0.87,90,99,1.06,RU,1682782883
121,fada n'gourma,12.0622,0.3578,37.37,25,67,4.75,BF,1682782883
122,san salvador de jujuy,-24.1946,-65.2971,20.74,40,1,2.22,AR,1682782884
123,tamandare,-8.7597,-35.1047,29.09,69,62,3.12,BR,1682782885
124,thompson,55.7435,-97.8558,7.09,53,75,1.54,CA,1682782887
125,fortuna,40.5982,-124.1573,9.19,72,36,1.36,US,1682782887
126,tamanrasset,22.785,5.5228,29.95,10,40,2.06,DZ,1682782888
127,fortaleza,-3.7227,-38.5247,30.07,74,75,5.14,BR,1682782889
128,horezu,45.15,24.0167,12.4,74,70,1.61,RO,1682782890
129,avarua,-21.2078,-159.775,23.03,73,100,2.06,CK,1682782890
130,coacotla,17.9333,-94.675,34.8,32,23,7.37,MX,1682782891
